Correlation_Pair;Correlation_Value
bullish_dsc_ask_bid_imbalance <-> bullish_dsc_dynamics;1.0000
deltaTimestampOpeningSection5min <-> deltaTimestampOpeningSection1min;0.9999
bearish_reversal_force <-> VolAbv_vol_ratio;0.9875
deltaCustomSectionMin <-> deltaTimestampOpeningSection1min;0.9867
deltaCustomSectionMin <-> deltaTimestampOpeningSection5min;0.9866
diffHighPrice_0_5 <-> diffPriceClosePoc_0_5;0.9505
diffHighPrice_0_4 <-> diffHighPrice_0_3;0.9420
diffLowPrice_0_3 <-> diffLowPrice_0_2;0.9350
diffHighPrice_0_1 <-> diffPriceClosePoc_0_1;0.9297
bearish_absorption_score <-> bullish_absorption_score;0.9276
diffHighPrice_0_3 <-> diffPriceClosePoc_0_3;0.9246
VolCandleMeanxRatio <-> diffVolCandle_0_1Ratio;0.9228
bearish_ask_abs_ratio_abv <-> absorption_intensity_repeat_bearish_vol;0.9207
diffPriceClose_VA21PvaL <-> diffPriceClose_VA21PPoc;0.9159
diffPriceClose_VA16PPoc <-> diffPriceClose_VA16PvaL;0.9090
diffPriceClose_VA21PvaH <-> diffPriceClose_VA21PPoc;0.9080
diffPriceClose_VA21PvaH <-> perct_VA21P;0.9055
perct_VA16P <-> diffPriceClose_VA16PvaH;0.9030
absorption_intensity_repeat_bearish_vol <-> bearish_absorption_intensity_repeat_count;0.9005
diffPriceClose_VA16PPoc <-> diffPriceClose_VA16PvaH;0.9005
diffPriceClose_VA21PvaL <-> diffPriceClose_VA16PvaL;0.8948
perct_VA6P <-> diffPriceClose_VA6PvaH;0.8871
bearish_bid_ratio <-> bearish_ask_abs_ratio_abv;-0.8792
bullish_absorption_score <-> bearish_activity_volume_score;0.8753
diffHighPrice_0_4 <-> diffPriceClosePoc_0_3;0.8694
diffHighPrice_0_1 <-> diffHighPrice_0_2;0.8680
diffPriceClose_VA21PvaH <-> diffPriceClose_VA16PvaH;0.8640
bearish_extreme_volume_score <-> bearish_absorption_score;0.8596
diffPriceClose_VA21PPoc <-> perct_VA21P;0.8568
bearish_absorption_score <-> bearish_activity_volume_score;0.8558
bearish_activity_volume_score <-> bearish_volume_quality;0.8513
diffPriceClose_VA16PPoc <-> perct_VA16P;0.8421
diffPriceClosePoc_0_5 <-> diffLowPrice_0_5;0.8336
bearish_asc_dynamics <-> bearish_asc_ask_bid_delta_imbalance;0.8300
bearish_ask_abs_ratio_abv <-> bearish_absorption_intensity_repeat_count;0.8294
perct_VA21P <-> perct_VA16P;0.8280
diffPriceClosePoc_0_1 <-> diffHighPrice_0_2;0.8280
diffPriceClose_VA21PPoc <-> diffPriceClose_VA16PvaL;0.8221
diffPriceClose_VA21PPoc <-> diffPriceClose_VA16PPoc;0.8184
bearish_absorption_score <-> bullish_activity_volume_score;0.8152
ratio_delta_vol_VA16P <-> ratio_delta_vol_VA21P;0.8118
perct_VA21P <-> diffPriceClose_VA16PvaH;0.8101
VolAbv_vol_ratio <-> diffPriceClosePoc_0_1;-0.8033
bearish_reversal_force <-> VolPocVolCandleRatio;0.8027
bullish_ask_score <-> bullish_asc_ask_bid_delta_imbalance;0.8009
VolPocVolCandleRatio <-> VolAbv_vol_ratio;0.8000
bearish_reversal_force <-> diffPriceClosePoc_0_1;-0.7944
bearish_extreme_volume_score <-> bullish_absorption_score;0.7930
bearish_bid_ratio <-> absorption_intensity_repeat_bearish_vol;-0.7919
bearish_asc_dynamics <-> bearish_asc_dsc_ratio;0.7904
diffHighPrice_0_5 <-> diffLowPrice_0_5;0.7880
bullish_activity_volume_score <-> bearish_volume_quality;0.7873
bearish_activity_volume_score <-> bullish_activity_volume_score;0.7859
diffHighPrice_0_1 <-> VolAbv_vol_ratio;-0.7851
diffHighPrice_0_4 <-> diffPriceClosePoc_0_5;0.7829
diffPriceClose_VA11PvaH <-> diffPriceClose_VA16PvaH;0.7820
diffPriceClose_VA21PvaH <-> diffPriceClose_VA16PPoc;0.7795
bearish_reversal_force <-> diffHighPrice_0_1;-0.7771
diffPriceClose_VA21PvaL <-> diffPriceClose_VA16PPoc;0.7749
diffPriceClose_VA21PvaL <-> diffPriceClose_VA21PvaH;0.7685
diffHighPrice_0_2 <-> diffPriceClosePoc_0_2;0.7673
diffPriceClose_VA21PPoc <-> diffPriceClose_VA16PvaH;0.7672
bullish_absorption_score <-> bullish_activity_volume_score;0.7665
diffPriceClosePoc_0_5 <-> diffHighPrice_0_3;0.7659
bearish_bid_ratio <-> bearish_asc_ask_bid_delta_imbalance;-0.7608
bearish_ask_abs_ratio_abv <-> bearish_asc_ask_bid_delta_imbalance;0.7607
bullish_ask_bid_ratio <-> bullish_absorption_intensity_repeat_count;0.7605
bearish_imnbScore_score <-> bearish_bid_score;0.7604
bearish_extreme_volume_score <-> bearish_activity_volume_score;0.7568
diffPriceClose_VA16PPoc <-> perct_VA21P;0.7558
diffPriceClose_VA16PvaL <-> diffPriceClose_VA16PvaH;0.7519
