Interaction;Value
vol_volatility_score <-> bearish_extreme_volume_score;32.2951
bullish_repeatAskBid_ratio <-> bullish_ask_score;31.6515
deltaTimestampOpeningSection5min <-> diffPriceCloseVWAP;28.5548
diffPriceCloseVWAP <-> diffPriceCloseVWAPbyIndex;27.7747
bearish_extreme_volume_score <-> bearish_combined_pressure;26.8183
bearish_volume_quality <-> bearish_market_context_score;26.4632
bear_imbalance_high_1 <-> finished_auction_high;26.1246
bearish_market_momentum <-> bearish_absorption_score;25.9724
bullish_market_context_score <-> bearish_market_context_score;25.9357
bull_imbalance_high_0 <-> bearish_volume_quality;25.4250
bearish_volume_quality <-> diffVolCandle_0_1Ratio;24.5109
bear_imbalance_high_2 <-> bull_imbalance_high_1;22.3331
bearish_repeatAskBid_ratio <-> bearish_ask_score;21.9098
VolCandleMeanxRatio <-> bearish_repeatAskBid_ratio;21.7960
VolCandleMeanxRatio <-> bearish_volume_quality;21.4901
bullish_dsc_ask_bid_imbalance <-> bearish_market_context_score;21.0918
market_regimeADX <-> diffVolCandle_0_1Ratio;20.5517
VolCandleMeanxRatio <-> vol_volatility_score;20.1034
bearish_volume_quality <-> bearish_extrem_zone_volume_ratio_extrem;20.0208
bearish_market_momentum <-> bearish_extreme_volume_score;20.0020
bullish_bid_abs_ratio_blw <-> bear_imbalance_low_0;19.9095
bearish_market_context_score <-> price_volume_dynamic;19.8162
bearish_extreme_volume_score <-> bearish_repeatAskBid_ratio;19.7357
bearish_extrem_pressure_ratio_extrem <-> bearish_market_momentum;19.4328
diffHighPrice_0_4 <-> diffPriceClosePoc_0_4;19.4096
bearish_market_context_score <-> bearish_extreme_volume_score;19.0849
bear_imbalance_high_2 <-> diffPriceClose_VA21PvaH;19.0088
bearish_market_context_score <-> bearish_absorption_score;18.7191
bearish_absorption_intensity_repeat_count <-> VolCandleMeanxRatio;18.2535
bearish_market_context_score <-> bullish_dsc_dynamics;17.7747
bearish_extreme_volume_score <-> count_AbvBlw_asym_ratio;17.2656
diffPriceClose_VA16PvaH <-> diffLowPrice_0_1;17.2626
bearish_market_context_score <-> bearish_repeatAskBid_ratio;17.1832
bear_imbalance_low_2 <-> bullish_ask_bid_ratio;16.9818
bearish_asc_dynamics <-> candleSizeTicks;16.9245
diffPriceCloseVWAP <-> bearish_imnbScore_score;16.7354
deltaTimestampOpeningSection1min <-> deltaTimestampOpeningSection5min;16.7120
deltaTimestampOpeningSection5min <-> bear_imbalance_high_2;16.6886
diffPriceCloseVWAP <-> bullish_activity_volume_score;16.4909
ratio_delta_vol_VA11P <-> finished_auction_high;16.4382
